customer_id,customer_name,customer_age,customer_gender,customer_city,customer_state,customer_country,customer_income,date_of_registration,preferred_contact_method,customer_phone,customer_email,Customer_Satisfaction,CustomerEducation,CustomerCategory
CUST000083,Steven Bradford MD,43,Female,Walkershire,West Virginia,UK,51403,04-07-2021,SMS,001-542-268-3292,donald81@example.org,5,Undergraduate,Corporate
CUST000084,Dr. Christopher Ortiz,61,Female,Lake David,Oregon,UK,36637,12-04-2022,Email,944-266-3715,denise18@example.org,10,Undergraduate,Corporate
CUST000085,Kathy Brown,51,Male,East Troyview,South Dakota,UK,33612,23-06-2015,Email,(613)847-6006x736,paulshaffer@example.org,5,Undergraduate,Corporate
CUST000086,Regina Moore,27,Male,North Gary,Oklahoma,India,55410,18-09-2019,SMS,835.497.1855x513,snowmichael@example.com,5,Graduate,Corporate
CUST000087,Michael Velasquez,53,Male,Lake Eric,Massachusetts,Germany,30160,10-09-2021,Phone,+1-584-633-0757x23024,christopher69@example.com,2,Undergraduate,Corporate
CUST000088,Whitney Floyd,31,Female,Parkerport,Texas,USA,85108,28-01-2023,SMS,272.258.5683,barkerblake@example.org,7,Doctorate,Corporate
CUST000089,Amanda Singleton,48,Female,Katherinestad,Connecticut,India,124675,14-02-2023,SMS,001-809-624-3509x0842,enavarro@example.org,2,Graduate,Corporate
CUST000090,Adrian Cooper,65,Female,Lake Erica,Pennsylvania,Germany,32728,09-01-2022,Email,001-359-875-6277x240,mariahleblanc@example.net,6,Postgraduate,Corporate
CUST000091,Larry Mcdowell,32,Male,Sharonville,Hawaii,Germany,94774,08-07-2019,SMS,001-452-716-7706,erikwilliams@example.com,1,Postgraduate,Corporate
CUST000092,Sherry Soto,25,Male,West Victoriahaven,Minnesota,Germany,117300,13-06-2023,SMS,807.524.7201,daniel90@example.org,1,Graduate,Corporate
CUST000093,Steven Collins,31,Male,East Amyshire,Wisconsin,India,142300,18-12-2014,SMS,(610)913-9860x63562,zfigueroa@example.com,1,Undergraduate,Corporate
CUST000094,Michael Olson,40,Male,Lake Shawnfurt,Kansas,USA,88594,09-04-2024,Email,882.352.6497x969,castrotonya@example.net,2,Doctorate,Corporate
CUST000095,Theodore Roberts,74,Male,Port Joshuaside,New Hampshire,Canada,43464,22-11-2018,SMS,556-248-7112x125,qunderwood@example.net,2,Undergraduate,Corporate
CUST000096,Amy Nguyen,57,Male,Turnerchester,Nevada,Germany,56943,25-07-2018,Email,(944)699-2853x7066,sanchezcarrie@example.com,5,Graduate,Corporate
CUST000097,Michael Wood,38,Male,South Rickyland,Rhode Island,Canada,55838,19-05-2015,SMS,001-685-788-7425x219,jasmine42@example.com,9,Graduate,Corporate
CUST000098,Charles Smith,33,Male,East Daisymouth,Rhode Island,Canada,30919,03-09-2021,Email,943-738-1593,michelletaylor@example.org,8,Graduate,Corporate
CUST000099,Gregory Gould,62,Male,Olsenborough,North Dakota,UK,62092,28-07-2021,Email,(720)759-3318x10432,adriana48@example.org,9,Graduate,Corporate
CUST000100,Susan Luna,35,Male,Cameronburgh,Michigan,Canada,32797,30-06-2023,SMS,601-941-1048x246,krista94@example.org,1,Doctorate,Corporate
CUST000101,Joel Lewis,64,Male,Longfurt,Maryland,UK,76887,08-07-2019,Phone,001-871-528-3180,bramirez@example.net,8,Graduate,Corporate
CUST000102,Ms. Kimberly Baldwin,70,Male,Anthonybury,Hawaii,USA,113003,19-08-2019,SMS,511-290-7757x59430,mollyhanson@example.net,3,Doctorate,Corporate
CUST000103,Kyle Harrison,41,Female,Melissaport,Connecticut,USA,114272,19-03-2017,Phone,347-760-0273,johnsontiffany@example.org,2,Postgraduate,Corporate
CUST000104,John Lewis,43,Male,East Robert,Hawaii,UK,99557,02-11-2018,Email,400.565.1507x34747,jasonlynch@example.net,2,Undergraduate,Corporate
CUST000105,Gabriella Smith,42,Male,Adamsview,Illinois,USA,28058,24-07-2016,Phone,2596964689,robinsonkimberly@example.net,7,Graduate,Corporate
CUST000106,Jessica Wallace,62,Male,North Brycehaven,Vermont,Germany,99577,23-10-2020,Phone,001-531-709-1735x1814,mcneilchristopher@example.org,1,Doctorate,Corporate
CUST000107,James Underwood,58,Male,Watkinsside,Minnesota,USA,128638,10-07-2019,Email,3515832766,ismith@example.com,10,Postgraduate,Corporate
CUST000108,Terri Davis,46,Male,Duarteburgh,New York,UK,91689,07-10-2022,Phone,8428098633,pamela42@example.net,3,Graduate,Corporate
CUST000109,Candice Knox,32,Male,Gallowayfurt,Kentucky,Germany,128244,12-11-2024,SMS,(569)344-8284x9150,kristopherlin@example.net,8,Doctorate,Corporate
CUST000110,Haley Brown MD,62,Female,Marquezton,Indiana,Canada,137911,23-10-2017,Phone,426.551.4088x99184,adamsanthony@example.net,9,Graduate,Corporate
CUST000111,Clarence Welch,18,Male,Adamport,California,Canada,102557,16-08-2019,Email,867.755.6811,lali@example.net,6,Graduate,Corporate
CUST000112,Marvin Stanley,42,Male,Sherrifort,Florida,Canada,52258,09-08-2016,Phone,(224)829-3095x7413,ynguyen@example.org,3,Postgraduate,Corporate
CUST000113,Julie Cox,24,Female,Ericaburgh,Ohio,UK,126383,25-04-2022,Email,340-766-0740,lisawilliams@example.com,2,Graduate,Corporate
CUST000114,Aimee Holmes,26,Male,Port Jackie,Nevada,Canada,140090,18-09-2022,Email,001-286-241-0389x541,johnstonbryan@example.org,1,Doctorate,Corporate
CUST000115,Christopher James,41,Male,West William,Missouri,USA,44359,05-02-2022,SMS,9977033333,richardsontami@example.com,6,Postgraduate,Corporate
CUST000116,Mr. Jason Hale,18,Female,New Christopher,Vermont,Canada,116714,30-09-2021,Email,447.928.8266,catherine83@example.org,10,Postgraduate,Corporate
CUST000117,April Wright,61,Female,North Danny,Louisiana,India,37914,07-10-2023,Phone,607-893-5774,prestonbrian@example.org,10,Undergraduate,Corporate
CUST000118,Shaun Atkins,25,Male,Steeleview,Missouri,India,32536,24-11-2020,SMS,001-763-622-7341,charles27@example.net,3,Postgraduate,Corporate
CUST000119,Ronnie Yang,41,Female,East Erik,New Mexico,Canada,80071,26-06-2021,SMS,+1-484-547-2032x3020,kristina90@example.com,1,Graduate,Corporate
CUST000120,Gail Jones,28,Male,New Jonathanmouth,Georgia,Canada,146448,05-01-2015,Phone,001-310-323-6191x35864,ashleygarza@example.com,3,Undergraduate,Corporate
CUST000121,Lisa Roberts,68,Male,East Josephland,Oklahoma,India,58748,07-09-2021,Phone,001-217-931-5268x003,wilcoxdavid@example.org,4,Undergraduate,Corporate
CUST000122,Kevin Cuevas,34,Female,Rasmussenberg,Texas,Canada,64448,15-12-2018,SMS,3232566239,pmartin@example.net,8,Doctorate,Corporate
CUST000123,Patrick Stewart,25,Male,Lake Calebborough,Nebraska,Germany,71132,01-09-2015,Email,635-822-8476,jasonstanley@example.net,1,Doctorate,Corporate
CUST000124,Eric Miller,52,Male,East Amy,Nebraska,India,101022,03-03-2024,SMS,001-537-706-7151x2976,williammitchell@example.com,3,Postgraduate,Corporate
CUST000125,Andrew Diaz,52,Female,New Donnamouth,Wyoming,UK,27384,31-05-2021,SMS,351-662-1776x3049,eburnett@example.org,1,Doctorate,Corporate
CUST000126,Mathew Riley,50,Female,Traceymouth,Wisconsin,India,69312,08-11-2015,SMS,474.373.7807x2535,wchavez@example.com,6,Graduate,Corporate
CUST000127,Miranda Guerrero,22,Male,Lake Hollyburgh,Virginia,USA,135624,22-10-2017,Email,(275)903-8056x7905,santanaderek@example.net,3,Postgraduate,Corporate
CUST000128,Lauren Lucas,59,Female,Rogersside,Missouri,Germany,132294,15-09-2016,Phone,582.213.7084x5967,carlamartin@example.com,5,Postgraduate,Corporate
CUST000129,Mr. Jack Hopkins MD,56,Male,Lake Patriciamouth,Mississippi,UK,101323,15-08-2020,Phone,001-211-876-1669x1380,jamesjohnson@example.net,7,Postgraduate,Corporate
CUST000130,Harold Sampson,58,Female,New Kaitlin,Missouri,Canada,59134,21-01-2024,Phone,+1-300-300-0590x7659,iharris@example.com,6,Graduate,Corporate
CUST000131,Tiffany Hendricks,45,Male,New Johnberg,Arizona,USA,126242,21-01-2024,Email,288.754.9381x811,moraleswilliam@example.com,8,Undergraduate,Corporate
CUST000132,Mr. Juan Alvarez,24,Male,North Jodimouth,Illinois,USA,108182,16-10-2020,Email,272.652.4197x6708,andrew22@example.net,3,Undergraduate,Corporate
CUST000133,Taylor Barber,26,Male,Katiehaven,Missouri,Germany,147347,24-03-2016,Phone,(229)519-9785,williamsandrew@example.net,7,Undergraduate,Corporate
CUST000134,Michelle Wood,25,Male,East Derrick,Indiana,UK,85120,11-02-2018,Phone,+1-550-237-2023x13201,rmatthews@example.com,6,Postgraduate,Corporate
CUST000135,Anne Wood,29,Male,Lake Calvinfort,Kentucky,USA,85592,17-07-2015,Phone,456.963.4232,chris62@example.com,2,Graduate,Corporate
CUST000136,William Miller,51,Female,Watsonville,Colorado,UK,96723,25-08-2019,Phone,001-686-779-7094x420,rvincent@example.net,5,Undergraduate,Corporate
CUST000137,Karl Anderson,50,Female,West Bonniehaven,Kansas,UK,99031,21-07-2017,Email,659-228-8572,nicholas16@example.net,5,Undergraduate,Corporate
CUST000138,Matthew Mullins,65,Male,South Johnfort,Montana,USA,34885,11-04-2023,Phone,(473)374-4304,hernandezmichelle@example.com,10,Postgraduate,Corporate
CUST000139,Mary Tate,72,Male,West Danielton,Missouri,UK,43700,27-05-2018,SMS,3476243694,leroychandler@example.net,2,Doctorate,Corporate
CUST000140,Michelle Pratt,40,Male,Port Paulland,Maine,Germany,40018,04-06-2021,Phone,648-464-4842x53571,sierra07@example.net,5,Postgraduate,Corporate
CUST000141,Corey Price,41,Female,Dakotamouth,Rhode Island,USA,120964,05-12-2024,Email,+1-961-445-8806x15155,dayross@example.com,6,Doctorate,Corporate
CUST000142,Christopher Olson,54,Female,Port Crystalburgh,Wisconsin,Germany,119607,11-04-2024,SMS,(841)380-0828x657,adamsrobert@example.org,7,Undergraduate,Corporate
CUST000143,Don Henry,52,Other,Vanessabury,New Hampshire,Germany,82061,20-07-2016,SMS,2639735265,karen46@example.net,8,Graduate,Corporate
CUST000144,Brittney Kim,61,Female,Timothyfort,Indiana,UK,56322,23-09-2016,SMS,538-988-5942x9715,danielfuller@example.org,5,Graduate,Corporate
CUST000145,Leslie Smith,57,Male,East Chelsea,Alaska,UK,75073,19-10-2018,Email,636-769-1542x00558,bwatson@example.org,8,Postgraduate,Corporate
CUST000146,Sandra Conley,39,Male,Sanchezmouth,North Dakota,USA,97650,28-10-2019,Phone,859.814.8438x279,elizabeth86@example.com,9,Postgraduate,Corporate
CUST000147,Debra Robinson,44,Female,New April,California,Canada,97110,03-11-2023,Email,461-204-0458x701,whitebrittany@example.org,5,Undergraduate,Corporate
CUST000148,Gordon Lewis,52,Female,East Monique,Nebraska,USA,49996,08-07-2024,Email,001-234-525-8176x738,econley@example.org,9,Doctorate,Corporate
CUST000149,Thomas Drake,18,Male,Butlerburgh,Missouri,Germany,117290,31-08-2022,SMS,001-481-996-5662x2797,tammy57@example.org,2,Graduate,Corporate
CUST000150,Marisa Moore,52,Male,Port Tommy,Florida,UK,128833,29-08-2022,SMS,373.964.8074x870,christy26@example.net,8,Postgraduate,Corporate
CUST000151,Patrick Clark,54,Female,Port Robin,Kansas,Germany,94345,14-09-2024,Email,340-261-2227,pmiller@example.net,4,Postgraduate,Corporate
CUST000152,Stephanie Miller,64,Male,North Tiffanyfort,Nevada,India,71304,14-08-2023,SMS,-6844,ashleykevin@example.com,4,Undergraduate,Corporate
CUST000153,Cassandra Soto,31,Male,Hutchinsonville,New Jersey,India,108086,16-06-2018,Email,(990)772-9325x1298,fbautista@example.org,9,Postgraduate,Corporate
CUST000154,Tina Lutz,20,Female,East Catherineberg,Washington,Germany,54249,06-11-2019,SMS,794-313-8308x3458,hollymiller@example.net,7,Doctorate,Corporate
CUST000155,Tom Stewart,18,Male,Kathleenmouth,Wyoming,Canada,132035,30-06-2023,Phone,454.973.7523x4890,kimberlykennedy@example.com,4,Undergraduate,Corporate
CUST000156,Robyn Hickman,22,Male,East Aaronfort,West Virginia,Canada,145956,23-06-2023,Phone,(230)524-7225x231,christyschmitt@example.org,2,Graduate,Corporate
CUST000157,Patrick George,43,Female,Lauramouth,Oklahoma,USA,128635,19-10-2016,Phone,001-522-938-1749,dawnwhitney@example.net,8,Graduate,Corporate
CUST000158,Miguel Flores,72,Female,Lake Amystad,Oregon,USA,111949,17-01-2019,SMS,221.718.4048x724,toddmartinez@example.org,4,Doctorate,Corporate
CUST000159,Mr. Jerry Buck,31,Other,South Richard,Hawaii,USA,141148,03-05-2020,SMS,451.744.9972x8951,zthomas@example.com,3,Graduate,Corporate
CUST000160,Ryan Miller,56,Male,Port Vincent,Alabama,UK,95223,13-04-2024,Phone,001-956-397-4232x715,michelle34@example.com,4,Doctorate,Corporate
CUST000161,Kevin Jones,44,Male,West Rebecca,Iowa,Canada,128661,18-11-2021,Email,938-229-9264,hernandeznoah@example.com,5,Graduate,Corporate
CUST000162,Courtney Silva,26,Female,West Amber,New Hampshire,Germany,46123,10-12-2017,Email,266-915-7557,qgardner@example.net,9,Postgraduate,Corporate
CUST000163,Kayla Harris,32,Female,Port Stephen,Nevada,India,58095,19-12-2023,Phone,608-416-2691x6251,yphillips@example.org,1,Undergraduate,Corporate
CUST000164,Autumn Thomas,32,Male,South Angelaport,Michigan,Canada,117971,19-09-2015,SMS,001-483-881-1449x57885,elliottmarissa@example.net,3,Doctorate,Corporate
CUST000165,Jonathan Sparks,43,Female,East James,Wisconsin,Canada,112158,26-10-2023,Email,-4337,donaldparker@example.net,1,Undergraduate,Corporate
CUST000166,Michael Nelson,59,Male,New Anthonychester,Washington,Canada,100821,15-04-2023,Email,+1-939-340-2467x99066,frankolson@example.org,6,Undergraduate,Corporate
CUST000167,Samantha Hansen,30,Male,Allenfort,Mississippi,USA,133627,10-01-2018,Email,526-653-5306,eric82@example.com,5,Undergraduate,Corporate
CUST000168,Michael Lozano,68,Male,Williamsbury,Nevada,UK,85185,28-06-2015,SMS,344.624.8255,oscar49@example.org,10,Graduate,Corporate
CUST000169,Dana Graves,49,Male,West Jeffrey,Massachusetts,Germany,115463,08-08-2017,Email,(610)280-7838x23418,kirbykenneth@example.net,9,Graduate,Corporate
CUST000170,Jeffrey Patterson,56,Male,Parkerport,Arkansas,USA,144820,03-09-2021,Email,+1-270-924-0235x6392,jeremy52@example.com,9,Postgraduate,Corporate
